1. Which of the following most closely describes your position?	3. What is the size of the research group you are active in:	4. What do you consider to be your broad area(s) of specialist knowledge? (select all that apply)	5. Which best describes your gender? 	7. Please describe the data types and formats (e.g. image/tiff, sequencing/FASTQ, etc) that you are consistently using for your AI/ML solution (max 50 words)	12. In order of importance, what do you view as the current key challenges to delivering your AI-related research goals in Life Sciences? (max 50 words per answer)	13. What current or future AI technologies from the following list (selected from within the ACM CCS ontology) below do you consider to be more impactful in changing the current biosciences research capabilities, or deliver fundamentally new ones?	14. If you are actively developing AI / ML methods for Life Sciences, from where do you obtain your compute capacity? Please indicate all that apply.	15. Please briefly describe   the technical infrastructure you are using (max 50 words).	16. Please rank the importance of the following statements towards identifying gaps (1-5, high to low) in supporting the use of AI in your field in Life Sciences. [More early career researchers with interdisciplinary AI training, including bioscience-focussed doctoral AI training]	16. Please rank the importance of the following statements towards identifying gaps (1-5, high to low) in supporting the use of AI in your field in Life Sciences. [More opportunities for continuing professional development in training on AI fundamentals available across career stages]	16. Please rank the importance of the following statements towards identifying gaps (1-5, high to low) in supporting the use of AI in your field in Life Sciences. [More training in data science aspects essential for enabling use of AI, available across career stages]	16. Please rank the importance of the following statements towards identifying gaps (1-5, high to low) in supporting the use of AI in your field in Life Sciences. [A specified ethics and regulation framework for AI/ML applications in Life Sciences]	16. Please rank the importance of the following statements towards identifying gaps (1-5, high to low) in supporting the use of AI in your field in Life Sciences. [More collaborative cross-discipline research projects]	16. Please rank the importance of the following statements towards identifying gaps (1-5, high to low) in supporting the use of AI in your field in Life Sciences. [Greater availability of technical professionals]	16. Please rank the importance of the following statements towards identifying gaps (1-5, high to low) in supporting the use of AI in your field in Life Sciences. [Greater level of support for using computational infrastructures]	16. Please rank the importance of the following statements towards identifying gaps (1-5, high to low) in supporting the use of AI in your field in Life Sciences. [Greater level of support for embedding ML-operations within the lab]	16. Please rank the importance of the following statements towards identifying gaps (1-5, high to low) in supporting the use of AI in your field in Life Sciences. [Greater interchange between academia and industry]	16. Please rank the importance of the following statements towards identifying gaps (1-5, high to low) in supporting the use of AI in your field in Life Sciences. [Greater support for translation, commercialisation and dissemination of AI technologies]	17. What are your key skills needs relating to AI? Which do you find are most challenging to recruit and/or retain? (maximum 50 words)	18. What types of activity would you like to see supported to promote more community-level discussions and activities for AI bioscience in Greece? What benefits could such activities provide? (max 200 words)
Research group leader	6-20	Genetics 	Male	BAM, FASTQ and excel sequencing files	Variant interpretation	Natural language processing, Knowledge representation and reasoning, Computational control theory, Cognitive science, Multi-agent systems, Intelligent agents, Mobile agents, Computer vision, Supervised learning, Unsupervised learning	Local institutional resources, National computational resources (such as ELIXIR-GR HYPATIA, GRNET ARIS)	Genetic analysers	2	2	2	1 high	2	2	1 high	2	1 high	1 high	Variant interpretation	Workshops
Research & Development scientist / Postdoctoral researcher	6-20	Neuroscience and behaviour, Systems biology (mathematical and/or computational modelling)	Male	images/videos		Natural language processing, Cognitive science, Multi-agent systems, Intelligent agents, Unsupervised learning, Reinforcement learning, Neural networks, Markov decision processes	Local institutional resources	We have in the lab three desktops equipped with GPUs, and also I am using google colab and kaggle	4	5 low	5 low	5 low	4	2	5 low	4	2	1 high	Math (linear algebra, probabilities), programming	"conferences, summer schools

They will increase the networking level especially for students coming from a different background."
Research fellow	1-5	Computer Science, Software development, Technology development (software and/or hardware)	Male	(a) Tabular data with nominal, categorical and numerical attributes, (b) text written in natural language.	"(a) Lack of domain knowledge
(b) Poor data quality
(c) Lack of public real-world datasets
(d) Computational resources"	Natural language processing, Knowledge representation and reasoning, Supervised learning, Semi-supervised learning settings, Ensemble methods	Local institutional resources	GPU server with 2 GPU cards	2	2	1 high	2	1 high	1 high	1 high	3 medium	2	2	Keeping up with recent architectures that emerge mainly from the field of NLP and computer vision	Forums, meetups, and efforts in general that support the creation of communities to exchange ideas
Technical Staff	6-20	Bioinformatics and computational biology, Structural biology, Systems biology (mathematical and/or computational modelling)	Female	 CSV, TSV, TEXT, ARFF, Sequence file Format,Simple interaction file (SIF or . sif format)	a platform with specific rules and directions	Markov decision processes	NA		4	3 medium	3 medium	3 medium	4	4	4	4	4	3 medium	hmm profiles	online discussions of all elixir members-AI researchers.  People will know what other people do, help each other
Research group leader	1-5	Bioinformatics and computational biology, Computer Science		free text from the literature and textual database record fields	user training, user-tailored method/software development	Knowledge representation and reasoning	Local institutional resources		2	2	2	3 medium	3 medium	1 high	3 medium	2	2	2	Statistics/data analysis	collaborative hands-on-workshops (like hackathons and datathons)
Professor	6-20	Bioinformatics and computational biology, Computer Science, Evolutionary biology, Industrial biotechnology, Software development, Synthetic biology, Systems biology (mathematical and/or computational modelling), Technology development (software and/or hardware)		various	quality of input data/QC	Natural language processing, Knowledge representation and reasoning, Intelligent agents, Computer vision, Reinforcement learning, Rule extraction	Local institutional resources, National computational resources (such as ELIXIR-GR HYPATIA, GRNET ARIS), commercial cloud services	multi-core multi-TB servers	3 medium	3 medium	4	2	3 medium	3 medium	2	2	2	2	a proper balance between life and computer sciences	"I would not define ""AI bioscience"" separately from everything else..."
Professor	6-20	Bioinformatics and computational biology, Biomedicine, Computer Science, Systems biology (mathematical and/or computational modelling)	Male	any multiomics type, images, text, csv, excel	Money, time, and human talent.	Automated machine learning capabilities (AutoML), automated causal discovery, automated feature construction, automated data cleaning	Local institutional resources, National computational resources (such as ELIXIR-GR HYPATIA, GRNET ARIS)	local server, GRnet infrastructure when available	1 high	2	2	4	3 medium	4	3 medium	5 low	4	2	I need people that are strong in algorithms and people with strong software engineering skills. Not people that have programmed little scripts but know what it means to work on projects with 500K lines of code. Front end developers are hard to find too.	activities engaging the industry and start ups 
Research fellow	1-5	Biomedicine, Cell Biology, Evolutionary biology, Microbiology, Structural biology, Systems biology (mathematical and/or computational modelling)	Female	csv files	-	Natural language processing, Supervised learning, Unsupervised learning, Reinforcement learning, Multi-task learning, Batch learning, Online learning settings, Semi-supervised learning settings, Federated learning, Neural networks, Markov decision processes, Ensemble methods	Local institutional resources	pycharm, jupyter notebooks, colab	1 high	1 high	1 high	2	1 high	1 high	2	1 high	1 high	2	-	Discord discussions, biomedical data science competitions
Research group leader	1-5	Computer Science, Software development	Male	CSV, XML, FASTA, JSON	"- Common understanding of expectations.
- Data gathering challenges.
- Established tools oftentimes are incompatible with more recent approaches and software."	Natural language processing, Knowledge representation and reasoning, Computer vision, Active learning settings, Semi-supervised learning settings, Markov decision processes	Local institutional resources, National computational resources (such as ELIXIR-GR HYPATIA, GRNET ARIS)	AMD Ryzen Threadripper PRO 3955WX 16-Cores (x2 threads/core), 2 high-end GPUs (NVIDIA RTX A6000)	1 high	2	3 medium	2	1 high	2	4	2	4	3 medium	Machine learning, deep learning, natural language processing, reinforcement learning, representations and embeddings, cross-domain/inter-disciplinary communication capacity. Mid-seniors and seniors are scarce across all skills.	"- Funded common fora and/or targeted projects, to increase cross-disciplinary understanding.
- Community challenges.
- Brainstorming sessions with the industry."
Bioinformatician, Data Scientist, or Research Software Engineer	1-5	Bioinformatics and computational biology, Biomedicine, Systems biology (mathematical and/or computational modelling)	Male	FASTQ (RNAseq and Whole Exome Sequencing and clinical-phenotype data (flat files) 	Getting access to databases with high volumes of raw genomics and clinical data from oncology units, the GDPR restrictions of using personal/sensitive data, the different standards and protocols that scientists use to storage/keep their data (there is need for harmonization and interoperability).	Knowledge representation and reasoning, Multi-task learning, Online learning settings, Federated learning, Ensemble methods	Local institutional resources, National computational resources (such as ELIXIR-GR HYPATIA, GRNET ARIS)	Dell PowerEdge R440 Rack Server (16GB RDIMM RAM, 2TB HDD) with Dell Intel Xeon Silver 4114 Processor 2.2G 10C/20T, 9.6GT/s – 4114-338-BLTV (10-core / 20 threads, 14MB Cache, 2.2 GHz, 85W)	2	1 high	3 medium	3 medium	3 medium	4	2	3 medium	2	2	statistical analysis, programming language and data modeling. Programming language and statistical analysis are the most challenging to recruit and/or retain.	Seminars, courses and hands-on workshops organized from informaticians, statisticians and biomedical scientists in order to provide AI certificates.
Research & Development scientist / Postdoctoral researcher	1-5	Bioinformatics and computational biology, Cell Biology, Computer Science, Evolutionary biology, Microbiology	Male	keyword searches	more data as input (data input limits need to expand)	Natural language processing, Cognitive science, Computer vision, Supervised learning, Unsupervised learning, Neural networks	Local institutional resources	HPC	2	2	1 high	1 high	2	3 medium	2	1 high	1 high	1 high	understanding the backend of an AI	Group seminars - webinars on AI usage - hands-on
Research group leader	6-20	Bioinformatics and computational biology, Bioimaging, Engineering, Environmental science, Pharmaceuticals	Female	Depends on the task undertaken	Infrastructure	Natural language processing, Intelligent agents, Supervised learning, Unsupervised learning, Reinforcement learning, Multi-task learning, Federated learning, Neural networks	National computational resources (such as ELIXIR-GR HYPATIA, GRNET ARIS), HPC, PRACE, lab servers	GRNET ARIS, HPC, PRACE, lab servers	2	2	2	1 high	2	2	2	2	2	2	Computational statistics	Hackathons
Bioinformatician, Data Scientist, or Research Software Engineer	1-5	Bioinformatics and computational biology, Computer Science, Software development	Male	CSV, JSON, VCF	taming of LLMs, privacy, patient involvement	Natural language processing, Knowledge representation and reasoning, Cognitive science, Mobile agents, Federated learning, Neural networks	Local institutional resources, National computational resources (such as ELIXIR-GR HYPATIA, GRNET ARIS)	Kubernetes institutional cluster	1 high	1 high	1 high	1 high	1 high	1 high	1 high	2	2	2	systems programming, mathematical background	privacy, citizen involvement, local LLM installations
Bioinformatician, Data Scientist, or Research Software Engineer	21-50	Bioinformatics and computational biology, Computer Science, Software development, Systems biology (mathematical and/or computational modelling)	Male	gene expression data		Natural language processing, Knowledge representation and reasoning, Computational control theory, Supervised learning, Unsupervised learning, Multi-task learning, Classification and regression trees, Neural networks, Markov decision processes	I am  not currently developing anything related to AI/ML		1 high	2	3 medium	3 medium	1 high	1 high	1 high	2	2	2	Mathematics and informatics. 	Online tutorials or workshops to get familiar with AI.
Head of Department / Centre Director/ R&D Director	1-5	Animal welfare, Marine finfish aquaculture	Male	The data types are images and videos. The video data type are .mp4, .avi and the image data type is JPEG.	"Continuous increase in processing power demands. 
Lack of compatibility with existing algorithms/tools. 
Reduced process power due to high costs (e.g GPUs)"	Knowledge representation and reasoning, Cognitive science, Reinforcement learning, Markov decision processes	Local institutional resources	"The computing resources consist of :
- CPU i9x20 / 32 RAM / GPU Geforce RTX 3060Ti Gaming X8G LHR
- CPU i7x8 / 32 RAM / GPU GeForce RTX 2080Ti Ventus GP OC
- CPU i7x8 / 16 RAM / GPU GeForce RTX 2080 Ventus 8G OC"	1 high	2	2	2	1 high	2	1 high	2	1 high	3 medium	Utilizing ML/AI services requires a good knowledge of core design (in our case Convolutional Neural Networks) as well as its implementation. The difficulty lies in developing the algorithm and also in adapting it to the needs that may arise	Collaborative cross-descipline projects
Professor	6-20	Computer Science, Evolutionary biology, Software development	Male	DNA sequences, MSAs, phylogenetic trees 	Too many papers on AI in life sciences are being published, many of them are of limited value to the user community.	Supervised learning, Unsupervised learning, Reinforcement learning, Classification and regression trees, Neural networks, Ensemble methods	Local institutional resources	Access to a cluster with 5000 cores iN Germany, access to Greek Elixir cluster (but not yet using it for AI-related research)	3 medium	3 medium	1 high	2	3 medium	3 medium	1 high	3 medium	3 medium	3 medium	The main problem is that most students want to do AI now, we are lacking students who are good at other things (coding in C++, parallelization, algorithms) 	Identifying problems that can be iproved via AI methods. 
Head of Department / Centre Director/ R&D Director	6-20	Bioinformatics and computational biology, Bioenergy, Biomedicine, Industrial biotechnology, Systems biology (mathematical and/or computational modelling)	Female	XML, MATLAB, csv	availability of harmonized/standardized data and conceptual context	Knowledge representation and reasoning, Computational control theory, Supervised learning, Unsupervised learning, Semi-supervised learning settings	Local institutional resources	MS-Windows servers, Unix servers	1 high	2	2	3 medium	1 high	1 high	2	2	3 medium	2	"people who ""speak"" many languages - biology and AI(mathematics/computer literacy) and can design the principles at the interface of these disciplines"	Master's programs/training programs based on real-life projects
Professor	6-20	Bioinformatics and computational biology, Bioimaging, Biomedicine, Engineering, Software development	Female	DICOM (and nifti, nrrd) for imaging, fastQ and raw text files for biological, various formats for signals, csv for clinical	data availability (including combined data eg -omics and imaging), maturation and uptake of methods	Natural language processing, Knowledge representation and reasoning, Multi-agent systems, Supervised learning, Reinforcement learning, Semi-supervised learning settings, Federated learning	Local institutional resources, commercial cloud services, grnet Okeanos low capacity VMs	a) inhouse servers with enough capacity , b) AUTH cluster, c) colab, d) VMs in grnet and AUTH	1 high	2	2	1 high	2	4	3 medium	4	3 medium	1 high	people who cab have a domain knowledge and data understanding from one side, and can also meet various levels of technical challenges from the other side	A continuous forum allowing interaction among academic organisations (and industry) in greece, eg with summer school training/hackathons etc 
Student	6-20	Computer Science, Technology development (software and/or hardware)	Male	text, audio, image	robustness, transparency, trustworthiness	Natural language processing, Knowledge representation and reasoning, Multi-task learning, Active learning settings	Local institutional resources, commercial cloud services	A 1080Ti GPU, or free tier colab, kaggle, aws	1 high	2	2	1 high	2	3 medium	2	4	2	4	MLops	We need to scrutinize the models that we use, to better understand them (and the problem we are solving), and to avoid future pitfalls.
Bioinformatician, Data Scientist, or Research Software Engineer	6-20	Engineering	Male	text/txt, images/png, knowledge bases/owl	Explainability	Natural language processing, Knowledge representation and reasoning, Cognitive science, Computer vision, Supervised learning	Local institutional resources	A server with 2 (relatively old) gpus.	3 medium	4	4	5 low	5 low	2	5 low	1 high	5 low	2	Willingness for continuous learning and training.	In my opinion one of key problems of promoting AI for biosciences is the lack of trust on that systems. Therefore, I believe that one key activity for promoting discussions is to present AI tools as collaborative methods, intended to function in conjunction with human involvement rather than operating autonomously. By adopting this approach, the seamless integration of such technologies into daily practices becomes more attainable,  promoting  discussion about them. 
Bioinformatician, Data Scientist, or Research Software Engineer	6-20	Bioinformatics and computational biology, Cell Biology, Immunology	Male	sequencing data	Explainable AI is the biggest challenge.	Natural language processing, Supervised learning, Semi-supervised learning settings, Ensemble methods	Local institutional resources	Single server with cuda support.	1 high	1 high	2	3 medium	1 high	2	1 high	1 high	4	4	Individuals that are properly trained on AI.	An AI society that organizes conferences specifically for the applications of AI in biomedical sciences. Also, MSc programs that focus on training students in AI. These 2 would provide the substrate for advancing biosciences with the use of AI.
Research & Development scientist / Postdoctoral researcher	6-20	Bioinformatics and computational biology, Bioimaging, Computer Science	Male	I have been using various formats of image (tiff, dicom, nii) and sound data (webm, ogg, mp3, wav).	"data scarcity
data divergency
lack of large scale applications"	Natural language processing, Knowledge representation and reasoning, Supervised learning, Active learning settings, Federated learning, Neural networks	Local institutional resources	A pc with i9 CPU and an NVIDIA GPU.	2	3 medium	3 medium	3 medium	2	3 medium	3 medium	2	3 medium	3 medium	The most important skills include basic linear algebra and statistics.	I think that the recent breakthroughs of AI bioscience are so buried, while regular people are so hyped about AI technology that I believe just a bit more media cover should do the job.
Research fellow	6-20	Bioinformatics and computational biology, Computer Science, Engineering, Systems biology (mathematical and/or computational modelling)	Female	I have not started using ML in Greece yet. When I start, it will be patient records of NGS and clinical data	Explainability. Quality of data. Enough data. 	Natural language processing, Unsupervised learning, Reinforcement learning, Multi-task learning, Batch learning, Neural networks, Markov decision processes	Local institutional resources		2	4	3 medium	1 high	4	3 medium	1 high	2	4	3 medium	I don't know at this point	I don't know at this point
Engineer	1-5	Computer Science	Female	Image	N/A	Unsupervised learning, Ensemble methods	I am not actively developing AI/ML methods		4	5 low	4	5 low	5 low	5 low	5 low	5 low	5 low	4	N/A	More career opportunities for all levels of experience would provide a bigger involvement of people in AI. More people of different ages and backgrounds could provide a more spherical view of AI Bioscience. 
Research group leader	1-5	Bioinformatics and computational biology, Computer Science, Diet and health, Software development, Structural biology, Systems biology (mathematical and/or computational modelling)	Male	NLPdata/(txt,json,xml), sequencing/(FASTA/FASTQ), images/png	"- Attracting and funding/supporting top ML researchers in my group
- Free access to (GPU) supercomputing resources 
"	Natural language processing, Knowledge representation and reasoning, Computational control theory, Cognitive science, Multi-agent systems, Intelligent agents, Computer vision, Supervised learning, Unsupervised learning, Reinforcement learning, Multi-task learning, Batch learning, Online learning settings, Active learning settings, Semi-supervised learning settings, Federated learning, Neural networks, Markov decision processes, Ensemble methods, Evolutionary Algorithms	Local institutional resources, National computational resources (such as ELIXIR-GR HYPATIA, GRNET ARIS)	"
Small models are trained on our lab's cluster offering 40 CPUs (+40 HT-CPUs)
Large models are trained using the GPU servers of ELXIR HYPATIA
"	1 high	1 high	1 high	2	2	1 high	1 high	1 high	2	2	"In order of importance and challenge: Mathematics/Statistics, Computer Science, Physics, Chemisty, Biology, Medicine.
"	"An electronic/in-person forum for ML experts/power users across all disciplines to exchange knowledge and experience
A separate forum supporting AI/ML beginners.
"
Engineer	6-20	Bioinformatics and computational biology, Computer Science, Engineering, Software development	Male	images (jpeg,jpg,png)	The current key challenges are gathering data and creating large enough datasets, were the data are of similar type.	Natural language processing, Knowledge representation and reasoning, Computer vision, Unsupervised learning, Reinforcement learning	Local institutional resources, commercial cloud services	The technical infrastructure is my current PC and Google Cloud.	2	1 high	1 high	3 medium	3 medium	3 medium	2	1 high	1 high	1 high	A deep understanding of the underlying mathematical structures in AI.	Maybe some events to raise awareness on the potential applications of AI in bioscience among people not familiar in the subject
Student	1-5	Computer Science	Female	Videos and images 	The need for developing bio inspired algorithms that best capture the relationship between the data because AI tools as black boxes are not always useful 	Natural language processing	Local institutional resources	Machines of high GPU provided by FORTH	3 medium	2	2	3 medium	1 high	4	2	2	2	3 medium	Employing the right AI tools depending on the task 	More seminars, conventions and open discussions ( paper presentations from AI bio scientists)  to enhance the collaboration and exchange of ideas across the community. 
Research group leader	1-5	Computer Science, Engineering, Software development	Male	tabular data, free text, linked data	Explainability and robustness of prediction results.	Natural language processing, Knowledge representation and reasoning, Federated learning	Local institutional resources	GPU NVIDIA Quadro RTX8000	1 high	2	2	3 medium	2	3 medium	2	3 medium	3 medium	2	Deploying ML models in a production environment (e.g., mobile phones)	Examples of AI usage for decision support, demystifying the ethical reasons for not using ΑΙ, and the benefits of using such technologies with real numbers (e.g. reduction in medical error rate, etc.)
Professor	6-20	Computer Science	Male	Tabular Data, Graph Data, Time series	Availability of data, Networking with life sciences experts	Natural language processing, Knowledge representation and reasoning, Computer vision, Supervised learning, Unsupervised learning, Reinforcement learning, Semi-supervised learning settings, Federated learning, Neural networks	Local institutional resources	Workstation with GPU NVidia RTX A6000, other low cost GPUs	1 high	1 high	1 high	2	2	2	3 medium	3 medium	1 high	2	-	Workshops, Seminars
Research group leader	6-20	Bioinformatics and computational biology, Neuroscience and behaviour	Female	image/tiff, video	1) Recruiting skilled research personnel (especially postdocs), 2) Securing/accessing the necessary computational infrastructure for implementing our AI algorithms on large benchmark datasets. 	Cognitive science, Unsupervised learning, Reinforcement learning, Multi-task learning, Online learning settings, Semi-supervised learning settings, Neural networks	Local institutional resources	"We have a central HPC with 624 cores, 3.3 TB of shared RAM, and 20 TB of High Throughput storage. A secondary HPC consists of 96 cores, 512 GB of RAM, connected with our storage devices, and is used mainly for sandbox testing without occupying the central cluster’s resources.
We use a server consisting of 40 Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz cores for standalone operations.
We use a GPU machine with the Intel(R) Core (TM) i7-8700K CPU @ 3.70GHz processor and two NVIDIA GeForce GTX 1080 Ti GPUs, and a second GPU machine with Intel(R) Core (TM) i7-9700 CPU @ 3.00GHz processor and one NVIDIA GeForce RTX 2080 Ti GPU."	1 high	2	1 high	3 medium	2	4	3 medium	2	2	3 medium	The combination of a solid background in math/engineering, programming and life sciences. 	National hackathons, conferences, training days
Research fellow	6-20	Computer Science	Male	CSV, JSON, XML		Natural language processing, Knowledge representation and reasoning, Computer vision, Multi-task learning, Neural networks, Ensemble methods	Local institutional resources		3 medium	4	3 medium	4	5 low	4	4	4	3 medium	4	A key challenge is beeing up-to-date with the rapidly developing literature in both AI and Life Sciences.	Conferenes, workshops, shared tasks, and shared projects involving members of both communities (AI and bioscience) would be beneficial for promoting community-level discussions
Research fellow	6-20	Bioinformatics and computational biology, Medicine, Biomedical Data Science	Female	Clinical data in csv, excel or similar format (tabular).	The interaction and active collaboration between the two scientific fields and the lack of appropriate infrastructures and ethics regulations regarding data collection and analysis.  	Natural language processing, Knowledge representation and reasoning, Computer vision, Supervised learning, Unsupervised learning, Reinforcement learning, Multi-task learning, Semi-supervised learning settings, Federated learning, Classification and regression trees, Kernel methods, Neural networks, Markov decision processes, Ensemble methods	Local institutional resources	I am currently working on a server that contains the data to be analysed as well as the relevant programming software. 	1 high	2	1 high	2	1 high	4	3 medium	4	4	2	Implementation and development of theoretical concepts.(Data management related: combination of data acquired from different resources.)	There is a need for greater scientific interchange between biomedical and computational research groups. Other more specific activities include: digitalisation and standardisation of data collection, integration of data science teams in hospitals to develop and establish infrastructures for data collection and analysis.  
Research fellow	6-20	Bioinformatics and computational biology, Biomedicine	Male	Sequencing/FASTQ/Fragments/TSV, Tabular data/CSV.	Lack of standardized benchmarks, poor/incomplete/sparse data without an easy way to be unified.	Natural language processing, Unsupervised learning, Multi-task learning, Active learning settings, Semi-supervised learning settings, Neural networks	Local institutional resources, commercial cloud services	Local institutional resources (CPUs/GPUs) and commercial cloud services (e.g., Google Colab).	2	4	2	3 medium	1 high	3 medium	2	3 medium	3 medium	4	Knowledge of both bioinformatics and ML/DL state-of-the-art methods and the combination of the two. Keeping up with all the advancements and their translation/application can be challenging.	Conferences with a focus on this intersection together with dedicated workshops for specific subgroups. Training activities to enhance the computational thinking of biomedical experts and the biological knowledge of computer scientists. Hackathons to bring together collaborative projects.
Bioinformatician, Data Scientist, or Research Software Engineer	1-5	Bioinformatics and computational biology, Computer Science, Physics / biophysics, Software development, Structural biology	Male	PDB	Resources & experimental data	Unsupervised learning, Reinforcement learning, Multi-task learning	National computational resources (such as ELIXIR-GR HYPATIA, GRNET ARIS), commercial cloud services, privately owned resources	multi-core systems with zero to multiple-GPUs, fast storage for processing (NVMe or plain SSDs), cold storage for maintaining data (HDDs), increased RAM capacity (~16-64 GB)	1 high	3 medium	1 high	3 medium	1 high	3 medium	1 high	3 medium	1 high	3 medium	It depends on the level/the type of engagement and the area of application. It is a combination of multiple fields: Computer Science, Data Analysis, Data Engineering, Graph Theory, Information Theory,  Linear Algebra, Operations Research, Signal Processing, Statistics. And these are just the foundation. If we consider the applications e.g. Life Sciences, the required list of skills expands more. And of course, the ability to follow the rapidly changing literature and developments of a highly competitive field.	There are many things that can be done but the most important one is to form a specialized community that is actively engaged and overly dedicated the topic. I think these twο initial steps are important: 1) Trying to reach experts with high relevance operating in academia and industry that have left the country. 2) Identifying which labs and companies are active in the Greece. 
LABORATORY TEACHING STAFF	6-20	Bioinformatics and computational biology	Female	protein sequences, txt, csv, interaction network files (.tsv), 	Use the huge amount of data.	Supervised learning, Unsupervised learning, Semi-supervised learning settings, Markov decision processes	Local institutional resources	-	3 medium	2	2	3 medium	2	2	2	2	3 medium	3 medium	training on AI fundamentals available	Training, interaction, collaboration
